metric,value,source
LEA pooled AUC,0.9150,artifacts/reports/lesionext_lens_v1a_evidence_only_5fold_oof.json
LEA pooled accuracy,0.8709,artifacts/reports/lesionext_lens_v1a_evidence_only_5fold_oof.json
LEA pooled sensitivity,0.7694,artifacts/reports/lesionext_lens_v1a_evidence_only_5fold_oof.json
LEA pooled specificity,0.9196,artifacts/reports/lesionext_lens_v1a_evidence_only_5fold_oof.json
LEA pooled precision,0.8207,artifacts/reports/lesionext_lens_v1a_evidence_only_5fold_oof.json
LEA pooled F1,0.7942,artifacts/reports/lesionext_lens_v1a_evidence_only_5fold_oof.json
ConvNeXt Tiny pooled AUC,0.9006,artifacts/reports/fixed_classification_benchmark/oof/convnext_tiny.json
ConvNeXt Tiny pooled accuracy,0.8501,artifacts/reports/fixed_classification_benchmark/oof/convnext_tiny.json
ConvNeXt Tiny pooled sensitivity,0.7743,artifacts/reports/fixed_classification_benchmark/oof/convnext_tiny.json
ConvNeXt Tiny pooled specificity,0.8864,artifacts/reports/fixed_classification_benchmark/oof/convnext_tiny.json
ConvNeXt Tiny pooled precision,0.7655,artifacts/reports/fixed_classification_benchmark/oof/convnext_tiny.json
ConvNeXt Tiny pooled F1,0.7699,artifacts/reports/fixed_classification_benchmark/oof/convnext_tiny.json
ResNet18 AUC,0.8425,artifacts/reports/fixed_classification_benchmark/all_model_comparison_v1a.csv
ResNet18 accuracy,0.8048,artifacts/reports/fixed_classification_benchmark/all_model_comparison_v1a.csv
ResNet18 sensitivity,0.6326,artifacts/reports/fixed_classification_benchmark/all_model_comparison_v1a.csv
ResNet18 specificity,0.8872,artifacts/reports/fixed_classification_benchmark/all_model_comparison_v1a.csv
ResNet18 precision,0.7287,artifacts/reports/fixed_classification_benchmark/all_model_comparison_v1a.csv
ResNet18 F1,0.6772,artifacts/reports/fixed_classification_benchmark/all_model_comparison_v1a.csv
DenseNet121 AUC,0.8697,artifacts/reports/fixed_classification_benchmark/all_model_comparison_v1a.csv
DenseNet121 accuracy,0.8304,artifacts/reports/fixed_classification_benchmark/all_model_comparison_v1a.csv
