rank,group,sample_id,error_type,final_probability,mechanism,case_image,source_image,source_mask
1,fp_top,benign (409),FP,0.975519620794072,full_image_error_area_gate_fallback,artifacts\reports\error_cases\fp_top\01_benign_409.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (409).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (409)_mask.png
2,fp_top,benign (397),FP,0.9578141523873257,full_image_error_area_gate_fallback,artifacts\reports\error_cases\fp_top\02_benign_397.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (397).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (397)_mask.png
3,fp_top,benign (401),FP,0.9246751240766383,full_image_already_malignant,artifacts\reports\error_cases\fp_top\03_benign_401.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (401).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (401)_mask.png
4,fp_top,benign (408),FP,0.8447871334074011,full_image_error_area_gate_fallback,artifacts\reports\error_cases\fp_top\04_benign_408.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (408).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (408)_mask.png
5,fp_top,benign (42),FP,0.8368397513920661,full_image_already_malignant,artifacts\reports\error_cases\fp_top\05_benign_42.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (42).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (42)_mask.png
6,fp_top,benign (400),FP,0.8350469221160733,full_image_error_area_gate_fallback,artifacts\reports\error_cases\fp_top\06_benign_400.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (400).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (400)_mask.png
7,fp_top,benign (131),FP,0.8343922341647841,full_image_already_malignant,artifacts\reports\error_cases\fp_top\07_benign_131.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (131).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (131)_mask.png
8,fp_top,benign (410),FP,0.813373863697052,full_image_error_area_gate_fallback,artifacts\reports\error_cases\fp_top\08_benign_410.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (410).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (410)_mask.png
9,fp_top,benign (407),FP,0.8115067015445263,full_image_error_area_gate_fallback,artifacts\reports\error_cases\fp_top\09_benign_407.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (407).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (407)_mask.png
10,fp_top,benign (412),FP,0.8084198477393343,full_image_error_area_gate_fallback,artifacts\reports\error_cases\fp_top\10_benign_412.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (412).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (412)_mask.png
