category,file,auc,threshold,sensitivity,specificity,accuracy,precision,f1,confusion,best_threshold,best_sensitivity,best_specificity,best_f1
主线/改进型集成与ROI方案,busi_demo_current_external.json,0.9256,0.5100,0.8667,0.8467,0.8532,0.7309,0.7930,370/67/28/182,0.5100,0.8667,0.8467,0.7930
主线/改进型集成与ROI方案,busi_demo_mainline_baseline_2026_04_27.json,0.9256,0.5100,0.8667,0.8467,0.8532,0.7309,0.7930,370/67/28/182,0.5100,0.8667,0.8467,0.7930
主线/改进型集成与ROI方案,busi_demo_roi_area_gate_current_recheck_after_seg5fold.json,0.9256,0.5100,0.8667,0.8467,0.8532,0.7309,0.7930,370/67/28/182,0.5100,0.8667,0.8467,0.7930
主线/改进型集成与ROI方案,busi_demo_roi_area_gate_external_validation_after_busbra_oof_error_analysis.json,0.9256,0.5100,0.8667,0.8467,0.8532,0.7309,0.7930,370/67/28/182,0.5100,0.8667,0.8467,0.7930
主线/改进型集成与ROI方案,busi_demo_roi_area_gate_f1_candidate.json,0.9256,0.5100,0.8667,0.8467,0.8532,0.7309,0.7930,370/67/28/182,0.5100,0.8667,0.8467,0.7930
主线/改进型集成与ROI方案,busi_demo_roi_area_gate_mainline_eval.json,0.9256,0.5100,0.8667,0.8467,0.8532,0.7309,0.7930,370/67/28/182,0.5100,0.8667,0.8467,0.7930
主线/改进型集成与ROI方案,busi_demo_seed_diversity_oof_candidate_eval.json,0.9250,0.5000,0.8333,0.8581,0.8501,0.7384,0.7830,375/62/35/175,0.5000,0.8333,0.8581,0.7830
主线/改进型集成与ROI方案,busi_demo_roi_area_gate_oof_protocol.json,0.9241,0.5600,0.8429,0.8330,0.8362,0.7080,0.7696,364/73/33/177,0.5100,0.8952,0.8124,0.7833
主线/改进型集成与ROI方案,busi_demo_unetplusplus_resnet34_mainline_review.json,0.9237,0.5700,0.8333,0.8513,0.8454,0.7292,0.7778,372/65/35/175,0.5300,0.8810,0.8238,0.7839
主线/改进型集成与ROI方案,busi_ensemble_effnet_densenet_convnext_roi_oof_lcc_mask04.json,0.9229,0.5600,0.8143,0.8673,0.8501,0.7467,0.7790,379/58/39/171,0.5400,0.8429,0.8558,0.7867
主线/改进型集成与ROI方案,busi_demo_convnext_soup_oof_candidate_eval.json,0.9225,0.4900,0.8619,0.8238,0.8362,0.7016,0.7735,360/77/29/181,0.5000,0.8524,0.8398,0.7800
主线/改进型集成与ROI方案,busi_demo_model_zoo_oof_candidate_eval.json,0.9213,0.4100,0.7952,0.8787,0.8516,0.7591,0.7767,384/53/43/167,0.3700,0.8429,0.8558,0.7867
主线/改进型集成与ROI方案,busi_demo_roi_lcc_mainline_eval.json,0.9208,0.5500,0.8524,0.8169,0.8284,0.6911,0.7633,357/80/31/179,0.5100,0.9000,0.7918,0.7714
主线/改进型集成与ROI方案,busi_demo_roi_lcc_mainline_recheck.json,0.9208,0.5500,0.8524,0.8169,0.8284,0.6911,0.7633,357/80/31/179,0.5100,0.9000,0.7918,0.7714
主线/改进型集成与ROI方案,busi_demo_roi_oof_lcc_mask04_eval.json,0.9208,0.5500,0.8524,0.8169,0.8284,0.6911,0.7633,357/80/31/179,0.5100,0.9000,0.7918,0.7714
主线/改进型集成与ROI方案,busi_demo_roi_area_gate_seg5fold_ensemble_eval.json,0.9200,0.5100,0.8524,0.8261,0.8346,0.7020,0.7699,361/76/31/179,0.5500,0.8286,0.8650,0.7856
主线/改进型集成与ROI方案,busi_demo_roi_mainline_eval.json,0.9196,0.5500,0.8429,0.8330,0.8362,0.7080,0.7696,364/73/33/177,0.6500,0.7810,0.9153,0.7981
主线/改进型集成与ROI方案,busi_demo_roi_oof_eval.json,0.9196,0.5500,0.8429,0.8330,0.8362,0.7080,0.7696,364/73/33/177,0.6500,0.7810,0.9153,0.7981
主线/改进型集成与ROI方案,busi_demo_roi_oof_logit_blend_eval.json,0.9196,0.3700,0.8143,0.8558,0.8423,0.7308,0.7703,374/63/39/171,0.4800,0.7810,0.9153,0.7981
主线/改进型集成与ROI方案,busi_demo_roi_oof_weighted_logit_blend_eval.json,0.9196,0.3200,0.8476,0.8261,0.8331,0.7008,0.7672,361/76/32/178,0.4800,0.7810,0.9153,0.7981
主线/改进型集成与ROI方案,busi_demo_roi_area_gate_seg5fold_best_eval.json,0.9181,0.5100,0.8524,0.8398,0.8439,0.7189,0.7800,367/70/31/179,0.4900,0.8714,0.8284,0.7821
主线/改进型集成与ROI方案,busi_ensemble_effnet_densenet_convnext_auc_best_tta_cnn_identity.json,0.9162,0.5000,0.6952,0.9405,0.8609,0.8488,0.7644,411/26/64/146,0.4400,0.7476,0.9268,0.7870
主线/改进型集成与ROI方案,busi_ensemble_effnet_densenet_convnext_optimized.json,0.9162,0.4530,0.7476,0.9291,0.8702,0.8351,0.7889,406/31/53/157,0.4400,0.7476,0.9268,0.7870
主线/改进型集成与ROI方案,busi_ensemble_effnet_convnext_hflip_weight0511.json,0.9159,0.3850,0.7905,0.8947,0.8609,0.7830,0.7867,391/46/44/166,0.4000,0.7810,0.9016,0.7866
完整5fold单模型/模型族,busi_sonoglore_lesion_moe_convnext_tiny_5fold_tta_crop_sweep.json,0.9154,0.5000,0.7429,0.9222,0.8640,0.8211,0.7800,403/34/54/156,0.3400,0.8381,0.8696,0.7946
主线/改进型集成与ROI方案,busi_ensemble_effnet_densenet_convnext_auc_best_tta_convnext_hflip.json,0.9153,0.5000,0.6857,0.9382,0.8563,0.8421,0.7559,410/27/66/144,0.2200,0.8810,0.7941,0.7629
主线/改进型集成与ROI方案,busi_ensemble_effnet_convnext_crop_sweep_weight0569.json,0.9152,0.3990,0.8000,0.8856,0.8578,0.7706,0.7850,387/50/42/168,0.4000,0.7952,0.8856,0.7822
主线/改进型集成与ROI方案,busi_demo_current_threshold_eval.json,0.9151,0.2140,0.9048,0.7368,0.7913,0.6230,0.7379,322/115/20/190,0.4000,0.8000,0.8856,0.7850
主线/改进型集成与ROI方案,busi_ensemble_effnet_convnext_auc_best_tta_cnn_identity.json,0.9151,0.5000,0.7524,0.9176,0.8640,0.8144,0.7822,401/36/52/158,0.4000,0.8000,0.8856,0.7850
主线/改进型集成与ROI方案,busi_ensemble_effnet_convnext_optimized.json,0.9151,0.3990,0.8000,0.8856,0.8578,0.7706,0.7850,387/50/42/168,0.4000,0.8000,0.8856,0.7850
主线/改进型集成与ROI方案,busi_optimized_config_rerun_eval.json,0.9151,0.3990,0.8000,0.8856,0.8578,0.7706,0.7850,387/50/42/168,0.4000,0.8000,0.8856,0.7850
主线/改进型集成与ROI方案,busi_ensemble_effnet_densenet_convnext_auc_best_tta_convnext_rotate5.json,0.9151,0.5000,0.6857,0.9382,0.8563,0.8421,0.7559,410/27/66/144,0.2300,0.8667,0.8124,0.7679
主线/改进型集成与ROI方案,busi_ensemble_effnet_convnext_auc_best_tta_convnext_rotate5.json,0.9148,0.5000,0.7286,0.9199,0.8578,0.8138,0.7688,402/35/57/153,0.4600,0.7524,0.9199,0.7841
主线/改进型集成与ROI方案,busi_ensemble_effnet_convnext_auc_best_tta_convnext_hflip.json,0.9148,0.5000,0.7143,0.9245,0.8563,0.8197,0.7634,404/33/60/150,0.4000,0.7857,0.8924,0.7820
主线/改进型集成与ROI方案,busi_ensemble_effnet_densenet_convnext_auc_best_formal.json,0.9144,0.5000,0.7095,0.9382,0.8640,0.8466,0.7720,410/27/61/149,0.3500,0.7952,0.8787,0.7767
主线/改进型集成与ROI方案,busi_ensemble_effnet_convnext_oof_weight0656.json,0.9143,0.3270,0.8286,0.8192,0.8223,0.6877,0.7516,358/79/36/174,0.4200,0.7952,0.8879,0.7840
主线/改进型集成与ROI方案,busi_ensemble_effnet_convnext_auc_best_formal.json,0.9142,0.5000,0.7524,0.9130,0.8609,0.8061,0.7783,399/38/52/158,0.4700,0.7714,0.9108,0.7883
主线/改进型集成与ROI方案,busi_demo_roi_area_gate_pareto.json,0.9141,0.5200,0.8619,0.8398,0.8470,0.7211,0.7852,367/70/29/181,0.5100,0.8714,0.8330,0.7854
主线/改进型集成与ROI方案,busi_ensemble_effnet_convnext_hflip_weight0511_retrain_conv4_eff5.json,0.9140,0.3850,0.7571,0.8970,0.8516,0.7794,0.7681,392/45/51/159,0.3000,0.8333,0.8330,0.7642
主线/改进型集成与ROI方案,busi_demo_roi_area_gate_oof_f1.json,0.9092,0.5200,0.8524,0.8284,0.8362,0.7047,0.7716,362/75/31/179,0.5100,0.8667,0.8215,0.7745
主线/改进型集成与ROI方案,busi_demo_descriptor_router_segmenter_oof_frozen_review.json,0.9071,0.3700,0.8000,0.8627,0.8423,0.7368,0.7671,377/60/42/168,0.4200,0.7857,0.8879,0.7783
完整5fold单模型/模型族,busi_convnext_tiny_current_rerun.json,0.9054,0.5000,0.7714,0.8879,0.8501,0.7678,0.7696,388/49/48/162,0.4600,0.8048,0.8719,0.7770
