model,label,auc_mean,auc_std,sensitivity_mean,specificity_mean,accuracy_mean,precision_mean,f1_mean,best_fold_auc,worst_fold_auc
sonoglore_convnext_tiny_grn_eca_asymproj_posw16,SonoGloRe GRN+ECA+AsymProj posw1.6,0.9226,0.0167,0.8008,0.8975,0.8661,0.7888,0.7946,0.9517,0.9018
convnext_tiny_timm_recipe_seed123,ConvNeXt-Tiny timm recipe seed123,0.9224,0.0116,0.8206,0.8493,0.8400,0.7364,0.7695,0.9435,0.9118
sonoglore_convnext_tiny_grn_eca_asymproj,SonoGloRe ConvNeXt-Tiny GRN+ECA+AsymProj,0.9223,0.0123,0.8369,0.8635,0.8549,0.7513,0.7891,0.9412,0.9065
convnext_tiny_timm_recipe,ConvNeXt-Tiny timm recipe,0.9212,0.0196,0.7744,0.8864,0.8501,0.7767,0.7698,0.9469,0.8875
sonoglore_lesion_moe_convnext_tiny,Lesion-Scale MoE ConvNeXt-Tiny,0.9199,0.0162,0.7544,0.8935,0.8485,0.7775,0.7623,0.9504,0.9020
convnextv2_tiny_timm_recipe,ConvNeXtV2-Tiny timm recipe,0.9176,0.0107,0.7743,0.9069,0.8640,0.7996,0.7866,0.9280,0.8990
sonoglore_convnext_tiny_grn_eca_asymproj_posw17,SonoGloRe GRN+ECA+AsymProj posw1.7,0.9170,0.0175,0.7859,0.8966,0.8608,0.7870,0.7856,0.9465,0.8934
ms_noattn__base,Multi-scale no-attention base,0.9167,0.0142,0.7511,0.9029,0.8539,0.7933,0.7685,0.9382,0.8955
convnext_small_timm_recipe,ConvNeXt-Small timm recipe,0.9162,0.0163,0.8007,0.8730,0.8496,0.7559,0.7749,0.9444,0.8936
swin_tiny_patch4_window7_224_timm_recipe,Swin-Tiny timm recipe,0.9139,0.0130,0.7595,0.8872,0.8459,0.7640,0.7614,0.9300,0.8998
densenet121,DenseNet121,0.9084,0.0157,0.7134,0.9203,0.8533,0.8127,0.7588,0.9266,0.8846
efficientnetv2_s,EfficientNetV2-S,0.8946,0.0241,0.6525,0.9054,0.8235,0.7759,0.7050,0.9248,0.8523
