file,auc,threshold,sensitivity,specificity,accuracy,precision,f1,confusion,best_threshold,best_sensitivity,best_specificity,best_f1
busi_sonoglore_lesion_moe_convnext_tiny_5fold_tta_crop_sweep.json,0.9154,0.5000,0.7429,0.9222,0.8640,0.8211,0.7800,403/34/54/156,0.3400,0.8381,0.8696,0.7946
busi_convnext_tiny_current_rerun.json,0.9054,0.5000,0.7714,0.8879,0.8501,0.7678,0.7696,388/49/48/162,0.4600,0.8048,0.8719,0.7770
busi_convnext_tiny_timm_recipe_5fold_tta_crop_sweep_recheck_20260621.json,0.9054,0.5000,0.7714,0.8879,0.8501,0.7678,0.7696,388/49/48/162,0.4600,0.8048,0.8719,0.7770
busi_convnext_tiny_tta_crop_sweep.json,0.9054,0.5000,0.7714,0.8879,0.8501,0.7678,0.7696,388/49/48/162,0.4600,0.8048,0.8719,0.7770
busi_convnext_tiny_tta_rotate5.json,0.9048,0.5000,0.7381,0.8970,0.8454,0.7750,0.7561,392/45/55/155,0.4000,0.7810,0.8696,0.7610
busi_convnext_tiny_timm_recipe_5fold.json,0.9044,0.5000,0.7524,0.8947,0.8485,0.7745,0.7633,391/46/52/158,0.4400,0.7762,0.8741,0.7617
busi_convnext_tiny_tta_hflip.json,0.9041,0.5000,0.7381,0.8924,0.8423,0.7673,0.7524,390/47/55/155,0.4700,0.7667,0.8879,0.7667
busi_convnext_small_timm_recipe_5fold_tta_crop_sweep.json,0.9040,0.5000,0.8190,0.8535,0.8423,0.7288,0.7713,373/64/38/172,0.4700,0.8333,0.8467,0.7743
busi_convnext_tiny_tta_crop90_hflip.json,0.9018,0.5000,0.7524,0.8810,0.8393,0.7524,0.7524,385/52/52/158,0.2600,0.8619,0.7941,0.7526
busi_efficientnetv2_s_5fold_hflip.json,0.8997,0.5000,0.6810,0.9291,0.8485,0.8218,0.7448,406/31/67/143,0.3600,0.7905,0.8741,0.7703
busi_convnext_tiny_tta_crop100_hflip.json,0.8994,0.5000,0.7762,0.8581,0.8315,0.7244,0.7494,375/62/47/163,0.8200,0.6857,0.9565,0.7721
busi_convnext_tiny_tta_identity.json,0.8991,0.5000,0.7381,0.8810,0.8346,0.7488,0.7434,385/52/55/155,0.5400,0.7381,0.9085,0.7654
busi_efficientnetv2_s_5fold_identity.json,0.8982,0.5000,0.6619,0.9314,0.8439,0.8225,0.7335,407/30/71/139,0.3900,0.7762,0.8970,0.7799
busi_swin_tiny_timm_recipe_5fold_tta_crop_sweep.json,0.8971,0.5000,0.7762,0.8833,0.8485,0.7617,0.7689,386/51/47/163,0.5000,0.7762,0.8833,0.7689
busi_densenet121_5fold_tta.json,0.8914,0.5000,0.4952,0.9794,0.8223,0.9204,0.6440,428/9/106/104,0.1900,0.7952,0.8581,0.7608
busi_swin_tiny_timm_recipe_5fold.json,0.8867,0.5000,0.7476,0.8650,0.8269,0.7269,0.7371,378/59/53/157,0.6700,0.7190,0.9199,0.7626
