sample_id,label,base_prob,new_prob,delta,base_pred,new_pred,base_wrong,new_wrong
benign (414),benign,0.001673,0.996753,0.995079,0,1,0,1
benign (104),benign,0.009683,0.985748,0.976065,0,1,0,1
benign (233),benign,0.026341,0.999142,0.972801,0,1,0,1
benign (63),benign,0.016951,0.981165,0.964214,0,1,0,1
benign (360),benign,0.013211,0.967665,0.954454,0,1,0,1
benign (299),benign,0.0474,0.99815,0.95075,0,1,0,1
benign (74),benign,0.048778,0.994099,0.945321,0,1,0,1
benign (183),benign,0.005148,0.950426,0.945278,0,1,0,1
benign (342),benign,0.004841,0.93993,0.935089,0,1,0,1
malignant (68),malignant,0.998063,0.073568,-0.924495,1,0,0,1
benign (162),benign,0.072602,0.99333,0.920728,0,1,0,1
benign (411),benign,0.047559,0.962762,0.915203,0,1,0,1
malignant (88),malignant,0.914108,0.000335,-0.913774,1,0,0,1
benign (159),benign,0.106865,0.963421,0.856557,0,1,0,1
benign (219),benign,0.204336,0.998289,0.793953,0,1,0,1
benign (176),benign,0.002018,0.743724,0.741706,0,1,0,1
benign (405),benign,0.129778,0.838249,0.708472,0,1,0,1
benign (337),benign,0.143179,0.848585,0.705406,0,1,0,1
benign (393),benign,0.290604,0.990748,0.700144,0,1,0,1
benign (314),benign,0.315477,0.999653,0.684176,0,1,0,1
benign (362),benign,0.000537,0.64591,0.645373,0,1,0,1
benign (335),benign,0.081312,0.714215,0.632902,0,1,0,1
malignant (17),malignant,0.630786,0.000306,-0.630481,1,0,0,1
benign (92),benign,0.000443,0.603436,0.602993,0,1,0,1
benign (10),benign,0.384685,0.985345,0.60066,0,1,0,1
benign (288),benign,0.026623,0.619964,0.59334,0,1,0,1
malignant (135),malignant,0.593593,0.000714,-0.592879,1,0,0,1
benign (304),benign,0.393986,0.982692,0.588707,0,1,0,1
benign (95),benign,0.389564,0.97775,0.588186,0,1,0,1
malignant (93),malignant,0.807973,0.224424,-0.583549,1,0,0,1
benign (262),benign,0.081177,0.663781,0.582604,0,1,0,1
benign (66),benign,0.33374,0.911138,0.577399,0,1,0,1
benign (391),benign,0.420641,0.994618,0.573978,0,1,0,1
benign (61),benign,0.022511,0.585641,0.56313,0,1,0,1
benign (64),benign,0.437881,0.996495,0.558614,0,1,0,1
benign (205),benign,0.015991,0.558451,0.54246,0,1,0,1
benign (193),benign,0.43327,0.974946,0.541676,0,1,0,1
benign (4),benign,0.456536,0.989896,0.53336,0,1,0,1
benign (374),benign,0.066074,0.595546,0.529472,0,1,0,1
benign (412),benign,0.471506,0.994413,0.522907,0,1,0,1
benign (272),benign,0.493755,0.993637,0.499881,0,1,0,1
benign (73),benign,0.495431,0.990596,0.495164,0,1,0,1
benign (321),benign,0.49093,0.968014,0.477084,0,1,0,1
